Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,6,0.0,Majority Vote,6.0,0.2727272727272727,0.33376933569004114,0.2727272727272727,0.20650965278912947
FCM,6,0.0,Min Move,6.0,0.3383838383838384,0.34057450373024145,0.3383838383838384,0.23460571830356425
FCM,6,0.0,Turn Vote,6.0,0.22979797979797978,0.22724524245511238,0.22979797979797978,0.14944054234560952
FCM,12,0.0,Majority Vote,12.0,0.3093434343434343,0.34945413504167744,0.3093434343434343,0.2629211165355034
FCM,12,0.0,Min Move,12.0,0.3926767676767677,0.3595554571503879,0.3926767676767677,0.31611260364614957
FCM,12,0.0,Turn Vote,12.0,0.3383838383838384,0.326917885785775,0.3383838383838384,0.2766521294310028
FCM,18,0.0,Majority Vote,18.0,0.3068181818181818,0.35272984798329743,0.3068181818181818,0.2847811085069949
FCM,18,0.0,Min Move,18.0,0.4646464646464646,0.39019928074409277,0.4646464646464646,0.38999130362676326
FCM,18,0.0,Turn Vote,18.0,0.32449494949494945,0.34354416083761524,0.32449494949494945,0.28747963000435234
FCM,24,0.0,Majority Vote,24.0,0.32575757575757575,0.4094538759849081,0.32575757575757575,0.3141417913464781
FCM,24,0.0,Min Move,24.0,0.5025252525252525,0.46051774038612847,0.5025252525252525,0.4358998191358902
FCM,24,0.0,Turn Vote,24.0,0.32702020202020204,0.35587964283168483,0.32702020202020204,0.29534506917978337
FCM,30,0.0,Majority Vote,30.0,0.3194444444444444,0.3891576021895714,0.3194444444444444,0.3061544628853152
FCM,30,0.0,Min Move,30.0,0.46085858585858586,0.43146380176237575,0.46085858585858586,0.4159604437055387
FCM,30,0.0,Turn Vote,30.0,0.33080808080808083,0.35740076756967737,0.33080808080808083,0.2956762853418453
FCM,36,0.0,Majority Vote,36.0,0.3434343434343434,0.38439846724657906,0.3434343434343434,0.3278427822479345
FCM,36,0.0,Min Move,36.0,0.446969696969697,0.41005247213584384,0.446969696969697,0.390203782850762
FCM,36,0.0,Turn Vote,36.0,0.33459595959595956,0.3667350212555045,0.33459595959595956,0.31206160827546187
FCM,42,0.0,Majority Vote,42.0,0.34974747474747475,0.4202875574399881,0.34974747474747475,0.33614371242438357
FCM,42,0.0,Min Move,42.0,0.4772727272727273,0.40770396547203575,0.4772727272727273,0.40349580614168373
FCM,42,0.0,Turn Vote,42.0,0.3333333333333333,0.37833773791326325,0.3333333333333333,0.304661885247807
FCM,48,0.0,Majority Vote,48.0,0.35353535353535354,0.39181590068413485,0.35353535353535354,0.3396925887877504
FCM,48,0.0,Min Move,48.0,0.45454545454545453,0.40374873461966276,0.45454545454545453,0.38793567360579284
FCM,48,0.0,Turn Vote,48.0,0.38636363636363635,0.42567005061172575,0.38636363636363635,0.3660558455085774
FCM,54,0.0,Majority Vote,54.0,0.3522727272727273,0.44038989756393593,0.3522727272727273,0.34023224431706517
FCM,54,0.0,Min Move,54.0,0.4785353535353535,0.35101656811176923,0.4785353535353535,0.39039040036945283
FCM,54,0.0,Turn Vote,54.0,0.351010101010101,0.3956942919073818,0.351010101010101,0.322649108408277
FCM,60,0.0,Majority Vote,60.0,0.33964646464646464,0.3853247192582931,0.33964646464646464,0.3294860890438271
FCM,60,0.0,Min Move,60.0,0.47348484848484845,0.4231802751338829,0.47348484848484845,0.41389689452630735
FCM,60,0.0,Turn Vote,60.0,0.3484848484848485,0.40149783372998554,0.3484848484848485,0.3245628401871196
KNN,3,0.0,Majority Vote,0.0,0.571969696969697,0.569705366625223,0.571969696969697,0.5652917122529091
KNN,4,0.0,Majority Vote,0.0,0.5606060606060606,0.5671246620778706,0.5606060606060606,0.5506766061593286
KNN,5,0.0,Majority Vote,0.0,0.5593434343434344,0.559626442580988,0.5593434343434344,0.5530840731974496
KNN,6,0.0,Majority Vote,0.0,0.5694444444444445,0.5761720879244803,0.5694444444444445,0.5617977468736538
KNN,7,0.0,Majority Vote,0.0,0.5505050505050505,0.5529356652562394,0.5505050505050505,0.5472758574365774
KNN,8,0.0,Majority Vote,0.0,0.5568181818181818,0.5659468403452361,0.5568181818181818,0.5517411927507548
KNN,9,0.0,Majority Vote,0.0,0.5542929292929293,0.5588802512599303,0.5542929292929293,0.5507935646308506
KNN,10,0.0,Majority Vote,0.0,0.5606060606060607,0.5702293196400289,0.5606060606060607,0.5563596351151071
KNN,11,0.0,Majority Vote,0.0,0.5429292929292929,0.5525664619282689,0.5429292929292929,0.5405161314803363
KNN,12,0.0,Majority Vote,0.0,0.5555555555555555,0.5686701382891223,0.5555555555555555,0.5536191264263514
KNN,13,0.0,Majority Vote,0.0,0.5441919191919191,0.5561515582149553,0.5441919191919191,0.543338375702077
KNN,14,0.0,Majority Vote,0.0,0.5454545454545454,0.5609218973295106,0.5454545454545454,0.5435167108751074
KNN,15,0.0,Majority Vote,0.0,0.5454545454545454,0.5631646849543697,0.5454545454545454,0.5450017621964347
Local DISSFCM,6,0.01,Majority Vote,34.18181818181818,0.47222222222222227,0.4608142537643149,0.47222222222222227,0.4260043504764887
Local DISSFCM,6,0.01,Min Move,23.363636363636363,0.6856060606060607,0.6992690002652803,0.6856060606060607,0.6637341984234486
Local DISSFCM,6,0.01,Turn Vote,34.18181818181818,0.4785353535353536,0.4543235775827925,0.4785353535353536,0.4347508481940071
Local DISSFCM,6,0.1,Majority Vote,36.27272727272727,0.4848484848484848,0.48370707928332857,0.4848484848484848,0.453790261049729
Local DISSFCM,6,0.1,Min Move,15.363636363636363,0.6944444444444444,0.6985415321649397,0.6944444444444444,0.6713205940561559
Local DISSFCM,6,0.1,Turn Vote,32.63636363636363,0.45959595959595956,0.4419662531983464,0.45959595959595956,0.4133233687321646
Local DISSFCM,6,1.0,Majority Vote,10.636363636363637,0.38257575757575757,0.3220690586776573,0.38257575757575757,0.301904087732373
Local DISSFCM,6,1.0,Min Move,7.7272727272727275,0.662878787878788,0.6783862089688152,0.662878787878788,0.6362496474297975
Local DISSFCM,6,1.0,Turn Vote,11.727272727272727,0.4078282828282828,0.3138741028469044,0.4078282828282828,0.31316756489044184
Local DISSFCM,6,10.0,Majority Vote,6.2727272727272725,0.36616161616161613,0.4570669849491176,0.36616161616161613,0.33347876550585515
Local DISSFCM,6,10.0,Min Move,6.7272727272727275,0.6666666666666666,0.6709133309322678,0.6666666666666666,0.6481462530928209
Local DISSFCM,6,10.0,Turn Vote,6.181818181818182,0.3914141414141414,0.4696201597584011,0.3914141414141414,0.35020608431660166
Local DISSFCM,12,0.01,Majority Vote,34.54545454545455,0.48863636363636365,0.5100606894160719,0.48863636363636365,0.45041269327430755
Local DISSFCM,12,0.01,Min Move,28.818181818181817,0.6742424242424243,0.6858085467173469,0.6742424242424243,0.6415455103055726
Local DISSFCM,12,0.01,Turn Vote,39.0,0.48989898989898983,0.5047480316921175,0.48989898989898983,0.46289741484724195
Local DISSFCM,12,0.1,Majority Vote,31.818181818181817,0.4924242424242424,0.5402190646149364,0.4924242424242424,0.453056720252296
Local DISSFCM,12,0.1,Min Move,29.818181818181817,0.6792929292929293,0.6572238166334092,0.6792929292929293,0.6272093942616715
Local DISSFCM,12,0.1,Turn Vote,31.363636363636363,0.4936868686868687,0.5131486866018499,0.4936868686868687,0.45187238968041826
Local DISSFCM,12,1.0,Majority Vote,17.90909090909091,0.4785353535353536,0.4726027418232345,0.4785353535353536,0.4237032837066753
Local DISSFCM,12,1.0,Min Move,17.818181818181817,0.7007575757575757,0.7121363057923099,0.7007575757575757,0.6749995633889962
Local DISSFCM,12,1.0,Turn Vote,18.90909090909091,0.5050505050505051,0.492572004266842,0.5050505050505051,0.4617963965175425
Local DISSFCM,12,10.0,Majority Vote,12.090909090909092,0.4255050505050505,0.4397098668466667,0.4255050505050505,0.3901905682486259
Local DISSFCM,12,10.0,Min Move,12.090909090909092,0.6982323232323232,0.7103125633839116,0.6982323232323232,0.6800093122147843
Local DISSFCM,12,10.0,Turn Vote,12.090909090909092,0.4305555555555556,0.4447640851771959,0.4305555555555556,0.4021132791720829
Local DISSFCM,18,0.01,Majority Vote,39.09090909090909,0.4823232323232323,0.5011793694416526,0.4823232323232323,0.45242230467755606
Local DISSFCM,18,0.01,Min Move,34.72727272727273,0.6856060606060606,0.651807188243482,0.6856060606060606,0.6382179449809403
Local DISSFCM,18,0.01,Turn Vote,46.18181818181818,0.5025252525252525,0.5070320592190608,0.5025252525252525,0.47487895396714114
Local DISSFCM,18,0.1,Majority Vote,38.09090909090909,0.5037878787878788,0.5316813521302685,0.5037878787878788,0.48514426848274933
Local DISSFCM,18,0.1,Min Move,29.90909090909091,0.6957070707070707,0.7129529516506383,0.6957070707070707,0.6536677098003056
Local DISSFCM,18,0.1,Turn Vote,33.09090909090909,0.4797979797979798,0.5088940437821349,0.4797979797979798,0.4511652605522844
Local DISSFCM,18,1.0,Majority Vote,23.363636363636363,0.5075757575757576,0.5220805497765721,0.5075757575757576,0.48081353353746775
Local DISSFCM,18,1.0,Min Move,22.181818181818183,0.6982323232323232,0.6947663779601578,0.6982323232323232,0.6550884403059744
Local DISSFCM,18,1.0,Turn Vote,23.272727272727273,0.5214646464646464,0.5336115663479863,0.5214646464646464,0.49553054913279326
Local DISSFCM,18,10.0,Majority Vote,18.09090909090909,0.47348484848484845,0.49763311958721945,0.47348484848484845,0.46154522330234643
Local DISSFCM,18,10.0,Min Move,18.09090909090909,0.7272727272727273,0.7451939701165707,0.7272727272727273,0.7155456121515031
Local DISSFCM,18,10.0,Turn Vote,18.09090909090909,0.51010101010101,0.5101535021461844,0.51010101010101,0.4964565552928004
Local IFCM,6,0.0,Majority Vote,6.0,0.38383838383838387,0.47556131201708496,0.38383838383838387,0.35900881539216023
Local IFCM,6,0.0,Min Move,6.0,0.6792929292929293,0.6852715181926412,0.6792929292929293,0.6711572551605526
Local IFCM,6,0.0,Turn Vote,6.0,0.42045454545454547,0.5165522650442158,0.42045454545454547,0.3828787862869458
Local IFCM,12,0.0,Majority Vote,12.0,0.4419191919191919,0.43727755830028553,0.4419191919191919,0.40929180584691327
Local IFCM,12,0.0,Min Move,12.0,0.7045454545454546,0.704861546405664,0.7045454545454546,0.6821322553810693
Local IFCM,12,0.0,Turn Vote,12.0,0.4318181818181818,0.4236407169834601,0.4318181818181818,0.3938542275354273
Local IFCM,18,0.0,Majority Vote,18.0,0.49747474747474746,0.5175932316060377,0.49747474747474746,0.481238791633222
Local IFCM,18,0.0,Min Move,18.0,0.7159090909090909,0.7300361930628607,0.7159090909090909,0.6975334552504724
Local IFCM,18,0.0,Turn Vote,18.0,0.5025252525252525,0.5215939789328474,0.5025252525252525,0.487111096048885
Local IFCM,24,0.0,Majority Vote,24.0,0.5277777777777778,0.5323245468095503,0.5277777777777778,0.5090467925449815
Local IFCM,24,0.0,Min Move,24.0,0.7007575757575757,0.6945590076608414,0.7007575757575757,0.6699230442686083
Local IFCM,24,0.0,Turn Vote,24.0,0.523989898989899,0.5268889656590191,0.523989898989899,0.507005765617582
Local IFCM,30,0.0,Majority Vote,30.0,0.5025252525252525,0.5059903589051493,0.5025252525252525,0.4792684641873138
Local IFCM,30,0.0,Min Move,30.0,0.7121212121212122,0.7165200443109344,0.7121212121212122,0.6972678719974916
Local IFCM,30,0.0,Turn Vote,30.0,0.5050505050505051,0.48919124319666113,0.5050505050505051,0.4802858786149011
Local IFCM,36,0.0,Majority Vote,36.0,0.5353535353535354,0.5393242691288433,0.5353535353535354,0.5213218048421738
Local IFCM,36,0.0,Min Move,36.0,0.7146464646464646,0.7279947946842121,0.7146464646464646,0.688669651846659
Local IFCM,36,0.0,Turn Vote,36.0,0.5227272727272727,0.5190319420992521,0.5227272727272727,0.5028416686685764
Local IFCM,42,0.0,Majority Vote,42.0,0.5265151515151515,0.5424964889537083,0.5265151515151515,0.518843359310231
Local IFCM,42,0.0,Min Move,42.0,0.7121212121212122,0.7127230161366195,0.7121212121212122,0.683221579502984
Local IFCM,42,0.0,Turn Vote,42.0,0.5328282828282828,0.5535251692829796,0.5328282828282828,0.5241922525240397
Local IFCM,48,0.0,Majority Vote,48.0,0.5404040404040404,0.5522656662978223,0.5404040404040404,0.5257075959567762
Local IFCM,48,0.0,Min Move,48.0,0.7184343434343434,0.7163823498786299,0.7184343434343434,0.6925120777722783
Local IFCM,48,0.0,Turn Vote,48.0,0.5404040404040404,0.5452199930897511,0.5404040404040404,0.5232660546192575
Local IFCM,54,0.0,Majority Vote,54.0,0.5328282828282828,0.5385126385794835,0.5328282828282828,0.5235539028086245
Local IFCM,54,0.0,Min Move,54.0,0.7058080808080809,0.7058299919660038,0.7058080808080809,0.6872710246174157
Local IFCM,54,0.0,Turn Vote,54.0,0.5303030303030303,0.533626010158931,0.5303030303030303,0.5133396388659525
Local IFCM,60,0.0,Majority Vote,60.0,0.537878787878788,0.5522417112991979,0.537878787878788,0.5185512816360354
Local IFCM,60,0.0,Min Move,60.0,0.7171717171717172,0.7192177063588546,0.7171717171717172,0.6976937922226858
Local IFCM,60,0.0,Turn Vote,60.0,0.5202020202020202,0.5438632560536586,0.5202020202020202,0.5029931968150619
